Precedence,Category,Status,Definition,Match keywords
10,Bookings (Products) - Short Stay,CONFIRMED,Short stay booking specifically,short stay; short-stay; day office; day pass
10,CSU,CONFIRMED,Customer service unit requests and CSU-driven changes,csu; customer service unit; iwg card activation; iwg/coffee card; activation shows suspended; iwg card not working; coffee card; iwg card issue; iwg card is not working; adding the iwg; iwg card no access; register iwg card
10,Center setup,CONFIRMED,"Incorrect centre configuration, or centre data shown to the customer",center setup; centre setup; incorrect information on myregus; centre details incorrect; center details incorrect; opening hours incorrect
10,Contract API/Agreements,CONFIRMED,"Agreement state, pricing, or termination incorrect; Contract API failures",contract api; agreement price; end agreement; agreement not updated; old agreement; agreement button; shows as terminated; agreement missing; tax id is incorrect; internal service agreement; upload internal service agreement; osa; signed paper agreement; upload the signed paper agreement; osa detail; not autoloaded; agreement was not autoloaded; osa was not autoloaded
10,Documents,CONFIRMED,"Uploading, accessing, or viewing documents on the account",upload financial document; financial document greyed; unable to upload document; document not visible; upload document; unable to upload; tds document; tds; supporting document; attach document; document upload; adobe reader; can't open the file; cannot open the file; unable to open the file; file uploaded; uploaded file; delete the file; deleting the file; file was mistakenly uploaded
10,Help and Inbox,CONFIRMED,"In-portal help, inbox, chat, and virtual assistant surfaces",help and inbox; aurora chat; chat bot; chatbot; inbox message; help centre article; help center article
10,Memberships,CONFIRMED,"Membership entitlement, visits, or membership billing",memberships; membership; visits are left but; visit allowance; membership cancelled; membership not active
10,Mobile,CONFIRMED,Issue specific to the mobile application,mobile app not working; mobile app is not working; app not working; app is not working; app crash; app crashes; app keeps crashing; app not loading; app is not loading; mobile app error; error on the mobile app; issue on the mobile app; unable to use the app; cannot use the app; mobile app shows; app does not load; mobile application; mobile application not working; mobile key
10,Network devices,CONFIRMED,"Network hardware, connectivity, and device onboarding",network devices; priority internet; wifi; wi-fi; router; switch; access point; ethernet; no internet; device onboarding
10,Payments Registration,CONFIRMED,Registering a card or setting up a default payment method,payments registration; default payment method; setting up default payment; register a credit card; register credit card; register their credit card; unable to add payment; cannot register; payment card option greyed; add payment card; add payment method; card registration; renew an expired credit card; register a new card; register bank card; payment processor; default payment preference; upload the card; uploading the card; upload their card; re-upload their card; unable to add the card; add the card; add credit card; adding credit card; add the credit card; add a credit card; set up the credit card; setting up the credit card; set up credit card; cc details; card is shown as expired; card shown as expired; shows as expired; re-register their card; card registration failed; cannot add cc; cannot add credit card; unable to add cc
10,Quick Access,CONFIRMED,"Quick Access, door entry, and staff mode",quick access; open the office door; door access; access card; badge; access control; salto; aca/salto; username displayed in access control; print release; printer linked to wrong centre; worldkey pin; world key pin; wkp; printer linked to the wrong centre; print tracking; printer setup
10,Renewals,CONFIRMED,"Agreement or service renewal, including unwanted auto-renewal",renewals; renewal; auto renewed; auto-renewed; renewed automatically; renewal price; did not want to renew; renew agreement; renew the agreement; renew office agreement; renewing the agreement; unable to renew; renew an agreement; renewal ticket; renewal reminder; renewal reminder email; central renewal support; crt ticket; submit renewal ticket; open renewal ticket
10,Retainers,CONFIRMED,"Retainer balance, refund, or application to invoices",retainers; retainer issue; retainer refund; retainer balance; deposit refund
10,Roles and Permissions,CONFIRMED,"User role, permission, or access-rights configuration",roles and permissions; permissions; role assignment; access rights; admin rights; cannot see option; no access to; can no longer raise; cannot raise; promoted from; community manager permissions; role change
10,SOA,CONFIRMED,"Statement of account content, accuracy, or delivery",soa; statement of account; statement not received; statement incorrect; balance on statement; mark invoices as paid; invoices as paid; showing as unpaid; still showing as unpaid; already allocated in dyn; already paid by the customer; shows as unpaid; shows unpaid; still shows unpaid; still shows as unpaid after; unpaid after settlement; not reflecting as paid; settled but not reflecting; payment not showing in myregus; reflected in dynamics; invoice still shows unpaid; balance is now 0; account balance is now; settled but shows; paid but still shows; payment not reflected; invoices has been paid; not reflecting in myregus; not reflecting in my regus; missing payment in myregus; missing payment; payment not reflecting; duplicate payment; zero-out the duplicate; reversal entry did not reflect; not yet showing in my regus; not showing in my regus soa; update my regus soa; incorrect account balance; already reflected in dyn; reflected in dyn but not; payment adjustment; reflected in dynamics but not; duplicate posting; duplicate payment in myregus; reversing the invalid; invalid refund posting; duplicate refund; zero-out the amount; remove or zero-out; reflecting twice; posted twice; not posted in myregus; not posted in my regus; posted in d365; is not posted in myregus
10,Staff - Attendance and Timeoff,CONFIRMED,Staff attendance recording and time-off requests,staff attendance; attendance; timeoff; time off; leave request; absence; holiday request; shift
10,XC (Product and Services),CONFIRMED,"XC product and services, including OOMA voice, DID numbers, and parking",xc (product and services); xc product; ooma; ooma issues; issues with did; did number; deprovisioned; cerebro; voice; telephony; phone line; parking; parking space; parking allocation; parking permit; parking bay; car park; car parking; parking access; parking charge; call answering; call handling; call handling details; call answering settings; did number on profile; wrong did; product and services; products & services; products and services; add service; adding a service; editing a service; remove service; mail forwarding; mail store and collect; service or product; callstream; cannot make or receive calls; unable to make or receive calls; not receiving or making phone calls; cannot make or receive phone calls; office customer number; log a credit note; unable to log a credit note; submit credit request; credit request
20,Payments - Credit Card,CONFIRMED,"Credit card payment failures, declines, and card visibility or charging problems",payments credit card; credit card; card declined; card payments are being rejected; autopayment not working; autopay not working; auto payment not processed; not being deducted; not pulling from the card; not charged each month; failed autopayment; worldpay; ingenico; card has not been charged; cannot pay invoice; unable to pay invoice; something went wrong while paying; unable to make payment; partially paid invoice; card not visible; not present on myregus; configured on titan but not; missing userprofileid; cc not reflecting; card details are not showing; card removed unexpectedly; cc lift; auto pay is not being pulled; auto pay not being pulled; auto pay is not pulling; card is not pulling; autopay is not pulling; cannot pay the invoices; can't pay the invoices; unable to pay the invoices; pay the invoices with registered; unable to process the payment; cannot process the payment; transaction remains unsuccessful; won't accept; will not accept the card; portal won't accept; card not accepted; payment portal won't accept; payment failed; the customer's payment failed; cannot make payment through cc; trying to pay invoice; attempted to pay the outstanding invoices; did not collect the full invoice amount; apm did not collect; autopay did not collect; amount captured by the apm; insufficient to cover the total outstanding; delayed deduction
20,Payments - Direct Debit,CONFIRMED,"Direct debit mandate, collection, and bank-transfer payment issues",payments direct debit; direct debit; dd mandate; mandate; sepa; bacs; bank transfer; standing order; dd not collected
30,Accounts and Companies,CONFIRMED,"Account or company record incorrect, unlinked, suspended, or in the wrong state",accounts and companies; company name is showing incorrect; account is not properly linked; accounts not linked; account reflecting as suspended; still showing suspended; account shows as restricted; add company account; incorrect ending balance; no data in payments & billing; visible on d365 but not; visible on dynamics d365; accounts are visible on d365; not in myregus; no data in payments and billing; missing customer records; client list missing; customers on the client list; customer data hotfix; missing customer data; hotfix deployed; unauthorized company name change; company name was changed; changed without authorization; without authorization; unauthorised company name change
30,Bookings (Products),CONFIRMED,"Cannot create, amend, or cancel a room, office, or coworking booking",bookings; meeting room; book meeting; book office; book coworking; unable to book; cannot book; centre not available; center not available; not available for booking; outside of business hours; outside business hours; booking cancellation; confirm booking; cannot be confirmed; unable to confirm booking; booking cannot be confirmed; after-hours meeting room; after hours meeting room; provisional booking; reservation is still provisional; booking reference; activation fee; activation fee mismatch; rollback the termination; roll back the termination; cannot rollback; unable to rollback; terminated while it was still provisional; terminated while provisional; greyed out; grayed out; edit/roll back option; booking could not be finished; freeze at the payment step; freezes at the payment step
30,Invoicing,CONFIRMED,"Invoice not raised, incorrect, or payment not reflected against it",invoicing; invoice not raised; proof of payment; crm ticket was not raised; how the invoice has been processed; invoice incorrect; data migration voucher; tax authority portal; supplier is reflecting; supplier name; invoice supplier; issued under; not receiving invoices; invoices are not being received; invoice recipient email; additional invoice recipient; invoices not received; invoices were generated but not sent; not sent to the client; not received invoice email; has not received invoice; invoice email not sent; request for the following sales invoices; sales invoices; couldn't find it in titan; post this cn; valid cn; tagged as internal; remove an unnecessary; ka fee; issuance of the corresponding credit note; assistance with a credit note; billed twice; late payment fee; incorrectly generated; einvoice; einvoicing; e-invoice; e-invoicing; ubl-invoice; tin number; receiving the invoice via email; invoice covering five months; invoice is covering five months; billed incorrectly for; no contract and no recurring charge; charged on the monthly invoices; backbilled; backbill; incorrect date format; auto charge date; invoice email has not been received; monthly invoice email; not receiving monthly invoice; invoice email not received; has not been received since
30,Login,CONFIRMED,"Cannot authenticate, or account state blocks sign-in",login; unable to login; unable to log in; cannot login; logging in to myregus; verification code; otp; not receiving verification; account needs activation; account blocked; account showing blocked; blocked in my regus; password reset; account inactive; account is inactive; inactive in myregus; inactive account; account activation/access; activation/access is not working; account activation is not working; unable to log in to their account; marked as inactive
30,Services,CONFIRMED,"Add-on service or product entitlement, provisioning, and billing",remove unlimited; incorrectly billed for; service not provisioned
10,Solution Email,CONFIRMED,"Solution email, including missing or incorrect content",solution email; solution email not received; solution email not sent; solution email not showing; solution email not delivered; solution email not received by the customer; solution email not received by the user; solution email not received in inbox; solution email not received in spam; solution email not received in junk; solution email not received in promotions; solution email not received in updates
